,Date,Negative,Neutral,News Outlet,Positive,Text,Tweet Polarity,Tweets Ago
77,Wed Aug 01 22:29:41 +0000 2018,0.876,0.0,BBC,0.124,"RT @BBC: ❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels. 
#InternationalFriend…",0.4767,78
78,Wed Aug 01 22:29:22 +0000 2018,1.0,0.0,BBC,0.0,@AlexSalmond on the National YouTube page about the @BBC Bringing down @WingsScotland  https://t.co/NjVzrM8mGM,0.0,79
79,Wed Aug 01 22:29:10 +0000 2018,0.583,0.0,BBC,0.417,@bbc you need urgently to start building trust. Here is a fast effective and easy tactic https://t.co/evIRIQQQUR,0.8519,80
80,Wed Aug 01 22:28:58 +0000 2018,0.75,0.186,BBC,0.064,"RT @DrDebraSoh: Look at how bored these poor children are, playing with toys of the opposite sex.

And what about studies showing that fema…",-0.5267,81
81,Wed Aug 01 22:28:54 +0000 2018,0.785,0.09,BBC,0.125,RT @AWH1955: @xtophercook @BBCNewsnight I really think @bbc is taking its anti Roman Catholic vendetta too far now! What happened to good o…,0.2244,82
82,Wed Aug 01 22:28:49 +0000 2018,0.617,0.383,BBC,0.0,"RT @yorkspride: #Newsnight
 👇
'We no longer own the national conversation'

Damn right. We will no longer be silent as rape squads sweep Br…",-0.8957,83
83,Wed Aug 01 22:28:37 +0000 2018,1.0,0.0,BBC,0.0,RT @BorsaMetin: #UNUTULMAZan @RT_Erdogan @SarikayaOrhanTR @DjJEM @Martin_Lejeune @aydinbinboga72 @n_degis @CuneytYonet @ntv @zbeydekaymaz07…,0.0,84
84,Wed Aug 01 22:28:00 +0000 2018,0.75,0.186,BBC,0.064,"RT @DrDebraSoh: Look at how bored these poor children are, playing with toys of the opposite sex.

And what about studies showing that fema…",-0.5267,85
85,Wed Aug 01 22:27:53 +0000 2018,0.88,0.12,BBC,0.0,RT @relovedreams: #WhyIJoinedTwitter To fight for @jeremycorbyn led @UKLabour and be part of #WeAreHisMedia  when it became obvious @bbc wa…,-0.3818,86
86,Wed Aug 01 22:27:31 +0000 2018,0.888,0.0,BBC,0.112,RT @CBoyle2000: @WingsScotland At last someone from @thesnp sticks their head above the parapet and takes on @bbc and who better than Mr Sa…,0.4404,87
87,Wed Aug 01 22:27:05 +0000 2018,1.0,0.0,BBC,0.0,RT @BorsaMetin: #UNUTULMAZan @RT_Erdogan @SarikayaOrhanTR @DjJEM @Martin_Lejeune @aydinbinboga72 @n_degis @CuneytYonet @ntv @zbeydekaymaz07…,0.0,88
88,Wed Aug 01 22:27:01 +0000 2018,1.0,0.0,BBC,0.0,@t_chieftan @WingsScotland @frawil66 @KnightAngel45 @AwfyPuggled @BBCJohnBeattie @BBCRadioScot @MsABurnside… https://t.co/ACnqYpJRD5,0.0,89
89,Wed Aug 01 22:26:58 +0000 2018,1.0,0.0,BBC,0.0,"@MSM, @MSNBC @CNN @PBS @BBC https://t.co/W1g7rEHBun",0.0,90
90,Wed Aug 01 22:26:48 +0000 2018,1.0,0.0,BBC,0.0,RT @Johnkamau7: @gloriamuliroke @afrimma @jmexclusives @RadioCitizenFM @QwetuRadio @EvyonK @EdelKweyu @Truthfmkenya @CizarinaMusic @bibilia…,0.0,91
91,Wed Aug 01 22:26:42 +0000 2018,0.773,0.227,BBC,0.0,RT @Florenceofarabi: The @BBC have absolutely NO CREDIBILITY whatsoever. #RevokeTheBBCsCharter #DitchTheLicenceFee https://t.co/FeBg996dpf,-0.4983,92
92,Wed Aug 01 22:26:36 +0000 2018,1.0,0.0,BBC,0.0,RT @Johnkamau7: @gloriamuliroke @afrimma @jmexclusives @RadioCitizenFM @QwetuRadio @EvyonK @EdelKweyu @Truthfmkenya @CizarinaMusic @bibilia…,0.0,93
93,Wed Aug 01 22:26:30 +0000 2018,0.753,0.118,BBC,0.129,". @BBC: Stop giving airtime to organisations whose funding is not transparent 

Sign the petition here: https://t.co/KxiNJEIUJR",0.0516,94
94,Wed Aug 01 22:25:54 +0000 2018,0.884,0.116,BBC,0.0,"RT @TIN_Talks: A recent @BBC Panorama programme ""Fighting for My Child"" showed families experiences of the £1.5 billion funding gap. Identi…",-0.3612,95
95,Wed Aug 01 22:25:42 +0000 2018,1.0,0.0,BBC,0.0,RT @MnsrMysterioso: @ChrisKeelty @ChristophBennet @Channel4News Watching the @bbc you would not think that the self inflicted Brexit disast…,0.0,96
96,Wed Aug 01 22:25:26 +0000 2018,0.811,0.0,BBC,0.189,"RT @BBC: ""Y'alright love?"" 😂 This crow has a Yorkshire accent and it's the best thing you'll hear today. 

#YorkshireDay

https://t.co/3J8B…",0.6369,97
